Year,District,Crime Category,Number of Cases,"Crime Rate per 100,000",Crime Severity,Crime Time,Crime Location,Weather Condition,Unemployment Rate (%),Poverty Level (%),Festival/Event,Population Density (per km²),Literacy Rate (%),Crime Hotspot,Repeat Offenses
2019,Dharmapuri,Domestic Violence,129,1.29,Low,Evening,Commercial Area,Rainy,8.69,18.36,Pongal,2486,66.5,No,1
2021,Villupuram,Burglary,549,6.38,Medium,Morning,Industrial Zone,Stormy,3.95,18.41,No Event,10602,68.27,No,1
2021,Ariyalur,Drug Offenses,729,9.47,Medium,Night,Commercial Area,Rainy,7.29,33.59,Temple Festival,10552,77.86,No,1
2020,Ariyalur,Fraud,222,6.73,Low,Afternoon,Highway,Stormy,4.42,10.49,No Event,2064,89.42,No,1
2021,Nilgiris,Cyber Crime,988,18.3,High,Afternoon,Highway,Rainy,4.41,13.62,Pongal,5260,76.19,No,1
2019,Tiruvarur,Assault,111,1.18,Low,Morning,Residential Area,Rainy,5.93,31.25,Independence Day,9843,93.99,No,1
2020,Madurai,Cyber Crime,956,56.24,High,Afternoon,Urban Area,Cloudy,7.74,19.39,Diwali,7234,71.19,No,1
2019,Tiruvarur,Fraud,482,8.31,Medium,Morning,Commercial Area,Stormy,3.68,24.67,Christmas,5918,65.51,No,1
2021,Vellore,Burglary,366,3.7,Low,Morning,Highway,Rainy,9.88,32.27,Independence Day,6457,85.9,No,1
2019,Ariyalur,Assault,1057,13.21,High,Morning,Urban Area,Rainy,10.77,12.73,Pongal,7905,88.21,No,1
2021,Erode,Domestic Violence,171,8.14,Low,Afternoon,Rural Area,Foggy,11.61,28.55,Independence Day,4895,79.64,No,1
2020,Tiruchirappalli,Cyber Crime,225,5.11,Low,Afternoon,Highway,Cloudy,3.43,10.37,No Event,3348,93.31,No,1
2019,Thanjavur,Cyber Crime,435,7.02,Medium,Morning,Residential Area,Cloudy,9.27,18.66,Pongal,10837,83.96,No,1
2020,Vellore,Kidnapping,381,4.88,Low,Night,Commercial Area,Cloudy,8.89,15.58,Independence Day,11812,82.77,No,1
2021,Vellore,Drug Offenses,945,78.75,High,Evening,Commercial Area,Sunny,10.96,32.83,Christmas,5090,84.26,Yes,2
2019,Villupuram,Fraud,168,2.95,Low,Evening,Highway,Sunny,9.79,27.56,Pongal,11121,93.41,No,1
2019,Virudhunagar,Burglary,852,11.51,High,Evening,Industrial Zone,Rainy,7.17,21.97,Temple Festival,5136,71.8,No,1
2019,Villupuram,Burglary,1192,15.89,High,Evening,Highway,Rainy,8.19,14.85,Temple Festival,11293,85.98,No,1
2020,Perambalur,Murder,969,22.02,High,Night,Rural Area,Stormy,11.49,24.05,Independence Day,4121,84.16,No,1
2020,Theni,Robbery,277,25.18,Low,Afternoon,Rural Area,Cloudy,3.46,30.78,Pongal,2074,86.77,No,1
2021,Karur,Murder,676,42.25,Medium,Night,Urban Area,Stormy,5.49,15.02,Pongal,6691,89.9,No,1
2019,Virudhunagar,Domestic Violence,63,2.52,Low,Night,Industrial Zone,Foggy,6.09,33.47,Diwali,12987,87.17,No,1
2019,Salem,Theft,201,2.64,Low,Afternoon,Commercial Area,Sunny,7.55,18.32,Temple Festival,5891,87.53,No,1
2020,Nagapattinam,Robbery,1103,18.69,High,Evening,Residential Area,Cloudy,6.36,24.44,Diwali,5026,76.09,No,1
2021,Salem,Fraud,1029,19.42,High,Afternoon,Highway,Foggy,6.23,28.45,No Event,10512,73.66,No,1
2020,Nagapattinam,Theft,681,16.21,Medium,Morning,Rural Area,Rainy,7.84,14.74,No Event,667,76.57,No,1
2021,Tiruvannamalai,Burglary,912,53.65,High,Evening,Residential Area,Cloudy,10.46,27.65,Independence Day,11510,88.67,No,1
2019,Virudhunagar,Theft,60,2,Low,Night,Urban Area,Stormy,5.4,19.57,Independence Day,4356,92,No,1
2019,Dharmapuri,Kidnapping,405,7.79,Medium,Night,Industrial Zone,Sunny,6.65,17.73,No Event,6129,65.61,No,1
2021,Villupuram,Burglary,1177,16.12,High,Evening,Commercial Area,Sunny,9.21,25.64,Independence Day,9701,74.03,Yes,4
2021,Ramanathapuram,Fraud,500,5.38,Medium,Morning,Rural Area,Stormy,10.74,13.78,Pongal,10089,87.07,No,1
2021,Tiruchirappalli,Burglary,726,7.41,Medium,Morning,Rural Area,Stormy,6.31,19.17,Christmas,7928,77.26,No,1
2019,Karur,Cyber Crime,344,9.05,Low,Afternoon,Urban Area,Rainy,3.5,27.15,Christmas,14662,73.19,No,1
2020,Tirunelveli,Burglary,432,5.33,Medium,Night,Commercial Area,Rainy,10.59,34.13,Temple Festival,4050,94.03,No,1
2020,Tiruvannamalai,Theft,280,5.49,Low,Afternoon,Urban Area,Sunny,4.79,23.21,Pongal,7388,70.64,No,1
2020,Thanjavur,Drug Offenses,293,4.58,Low,Morning,Highway,Foggy,5.75,34.26,No Event,12107,70.84,No,1
2020,Pudukkottai,Fraud,87,7.91,Low,Morning,Commercial Area,Sunny,6.92,21.87,Temple Festival,4797,80.47,No,1
2019,Theni,Cyber Crime,741,74.1,Medium,Night,Commercial Area,Foggy,6.39,34.5,Christmas,10126,71.11,No,1
2021,Perambalur,Burglary,53,4.42,Low,Morning,Rural Area,Stormy,5.22,25.94,Temple Festival,1495,66.17,No,1
2021,Virudhunagar,Murder,691,10.01,Medium,Night,Highway,Cloudy,9.27,28,Christmas,3409,78.74,No,1
2021,Tiruvannamalai,Theft,144,2.62,Low,Morning,Industrial Zone,Cloudy,9.94,32.48,Christmas,4652,65.71,No,1
2021,Sivagangai,Burglary,223,3.01,Low,Afternoon,Commercial Area,Sunny,3.35,33.43,Diwali,14702,68.82,No,1
2020,Dindigul,Burglary,586,6.3,Medium,Afternoon,Rural Area,Sunny,6.95,25.26,Pongal,13500,72.82,No,1
2020,Vellore,Murder,1119,38.59,High,Morning,Residential Area,Sunny,9.63,18.17,Christmas,9223,69.93,No,1
2021,Coimbatore,Theft,861,25.32,High,Morning,Urban Area,Cloudy,9.7,20.24,No Event,4215,66.96,No,1
2019,Vellore,Cyber Crime,337,4.32,Low,Afternoon,Highway,Sunny,5.32,23.25,Independence Day,2803,82.09,No,1
2021,Erode,Kidnapping,566,16.65,Medium,Afternoon,Commercial Area,Stormy,8.49,11.26,Independence Day,1526,68.32,No,1
2020,Perambalur,Drug Offenses,867,24.08,High,Morning,Industrial Zone,Rainy,3.58,11.66,Christmas,3225,76.6,No,1
2019,Perambalur,Robbery,1106,38.14,High,Night,Urban Area,Foggy,11.12,34.64,Temple Festival,8694,73.67,Yes,4
2019,Karur,Kidnapping,838,24.65,High,Morning,Rural Area,Foggy,9.85,29.98,Christmas,3640,70.33,No,1
2020,Perambalur,Murder,1034,24.62,High,Afternoon,Commercial Area,Cloudy,9.79,18.05,Diwali,13068,75.1,No,1
2019,Nagapattinam,Assault,1169,12.85,High,Evening,Commercial Area,Foggy,4.51,33.32,Diwali,1111,65.55,Yes,4
2020,Kanyakumari,Fraud,667,7.58,Medium,Night,Commercial Area,Stormy,11.5,14.05,Pongal,10989,89.33,No,1
2020,Krishnagiri,Robbery,1018,12.57,High,Afternoon,Residential Area,Sunny,7.62,25.12,Independence Day,2497,81.38,No,1
2021,Ariyalur,Murder,266,3.69,Low,Morning,Industrial Zone,Cloudy,7.63,29.15,Pongal,10718,75.19,No,1
2021,Sivagangai,Cyber Crime,794,8.82,Medium,Afternoon,Commercial Area,Stormy,4.28,33.28,Independence Day,14915,76.47,No,1
2021,Krishnagiri,Burglary,508,6.35,Medium,Morning,Urban Area,Cloudy,5.38,24.04,Pongal,6705,72.64,No,1
2021,Tirunelveli,Burglary,192,4.36,Low,Evening,Residential Area,Stormy,11.6,33.76,Diwali,14933,71.54,No,1
2020,Sivagangai,Assault,832,20.29,High,Morning,Commercial Area,Stormy,8.94,18.11,Diwali,14770,84.4,No,1
2019,Pudukkottai,Domestic Violence,570,9.83,Medium,Afternoon,Commercial Area,Rainy,3.43,12.71,Pongal,14235,85.61,No,1
2020,Coimbatore,Cyber Crime,362,4.47,Low,Evening,Industrial Zone,Stormy,4.78,24.72,Pongal,12489,90.74,No,1
2021,Dharmapuri,Robbery,309,4.01,Low,Afternoon,Urban Area,Cloudy,8.09,12.62,Diwali,10074,81.32,No,1
2019,Vellore,Cyber Crime,875,29.17,High,Morning,Commercial Area,Sunny,6.25,23.21,No Event,11317,71.07,No,1
2021,Nilgiris,Robbery,485,6.55,Medium,Night,Industrial Zone,Sunny,11.06,27.3,Diwali,11178,93.66,No,1
2021,Krishnagiri,Cyber Crime,607,9.48,Medium,Afternoon,Urban Area,Rainy,11.05,22.28,Pongal,13485,86.23,No,1
2020,Sivagangai,Kidnapping,822,16.12,High,Evening,Industrial Zone,Rainy,4.85,28.46,Christmas,1647,81.24,No,1
2019,Perambalur,Fraud,574,10.44,Medium,Night,Residential Area,Foggy,6.24,20.08,No Event,8851,67.57,No,1
2021,Cuddalore,Drug Offenses,240,16,Low,Night,Rural Area,Stormy,6.16,30.78,No Event,5090,85.05,No,1
2020,Salem,Drug Offenses,1077,16.83,High,Evening,Rural Area,Foggy,6.88,19.81,Christmas,3445,77.03,No,1
2019,Madurai,Robbery,749,12.91,Medium,Afternoon,Rural Area,Foggy,5.23,24.08,Pongal,3886,94.45,No,1
2019,Dindigul,Drug Offenses,393,6.55,Low,Evening,Highway,Sunny,11.79,31.53,Independence Day,4649,66.64,No,1
2020,Ariyalur,Assault,1042,11.84,High,Afternoon,Highway,Rainy,3.12,12.69,Diwali,3519,75.89,No,1
2019,Dindigul,Domestic Violence,1024,12.19,High,Morning,Urban Area,Foggy,3.37,33.37,Temple Festival,12279,69.76,No,1
2021,Sivagangai,Kidnapping,761,31.71,Medium,Evening,Industrial Zone,Cloudy,10.33,32.9,Independence Day,6136,89.36,No,1
2021,Salem,Kidnapping,143,3.11,Low,Night,Rural Area,Sunny,10.95,17.16,Christmas,3985,94.52,No,1
2020,Kanyakumari,Domestic Violence,1192,12.82,High,Afternoon,Rural Area,Sunny,10.1,27.41,No Event,11980,73.21,No,1
2021,Chennai,Robbery,774,10.6,Medium,Evening,Commercial Area,Rainy,3.13,13.63,Temple Festival,4016,71.19,No,1
2020,Dindigul,Assault,112,1.53,Low,Night,Commercial Area,Stormy,7.33,32.29,Independence Day,13824,85.79,No,1
2020,Sivagangai,Theft,658,6.65,Medium,Evening,Rural Area,Sunny,7,27.89,Pongal,10700,90.45,No,1
2020,Krishnagiri,Domestic Violence,881,9.37,High,Morning,Highway,Stormy,7.16,30.88,No Event,7588,77.12,No,1
2020,Ariyalur,Robbery,838,49.29,High,Morning,Rural Area,Foggy,7.73,18.69,Pongal,2993,84.06,No,1
2020,Tirunelveli,Cyber Crime,638,8.86,Medium,Evening,Industrial Zone,Rainy,9.57,15.94,Diwali,966,78.73,No,1
2020,Thoothukudi,Theft,725,8.15,Medium,Afternoon,Urban Area,Stormy,9.13,13.77,Pongal,4262,85.42,No,1
2021,Theni,Domestic Violence,1043,19.31,High,Night,Commercial Area,Sunny,7.94,14.38,Independence Day,13310,73.88,Yes,2
2021,Villupuram,Burglary,605,15.51,Medium,Afternoon,Rural Area,Sunny,11.21,12.8,Christmas,9340,93.17,No,1
2021,Sivagangai,Drug Offenses,1129,32.26,High,Evening,Residential Area,Rainy,10.79,12.71,Christmas,13704,69.02,No,1
2020,Kanyakumari,Theft,1063,11.07,High,Morning,Industrial Zone,Foggy,5.55,31.24,Temple Festival,6071,90.64,No,1
2019,Villupuram,Murder,210,2.76,Low,Night,Commercial Area,Cloudy,9.28,25.44,No Event,12998,81.68,No,1
2019,Tiruvarur,Fraud,1044,13.22,High,Afternoon,Rural Area,Cloudy,7.25,17.07,No Event,9217,85.19,No,1
2019,Nagapattinam,Kidnapping,684,19.54,Medium,Morning,Rural Area,Cloudy,7.37,11.18,Pongal,1092,94.28,No,1
2019,Tirunelveli,Robbery,436,6.81,Medium,Evening,Rural Area,Sunny,3.44,26.41,Independence Day,3757,72.99,No,1
2021,Tiruvarur,Theft,779,8.38,Medium,Evening,Urban Area,Rainy,5.99,30.65,No Event,5577,84.88,No,1
2020,Cuddalore,Burglary,307,6.82,Low,Night,Residential Area,Sunny,11.82,31.87,Christmas,7138,72.34,No,1
2020,Thoothukudi,Assault,54,0.96,Low,Evening,Commercial Area,Stormy,5.87,24.91,Temple Festival,8250,71.22,No,1
2020,Namakkal,Fraud,991,36.7,High,Evening,Urban Area,Sunny,5.84,31.32,Diwali,7003,66.23,Yes,4
2021,Villupuram,Cyber Crime,1052,14.22,High,Morning,Highway,Cloudy,9.42,22.6,No Event,12530,91.86,No,1
2020,Chennai,Fraud,726,10.68,Medium,Afternoon,Rural Area,Cloudy,10.2,29.78,Christmas,11730,69.17,No,1
2020,Madurai,Fraud,267,8.61,Low,Evening,Industrial Zone,Stormy,8.98,33.49,Christmas,10607,72.88,No,1
2021,Villupuram,Drug Offenses,380,27.14,Low,Morning,Rural Area,Stormy,3.8,14.89,Independence Day,14226,76.71,No,1
2020,Ariyalur,Kidnapping,944,14.98,High,Morning,Residential Area,Sunny,10.46,10.99,Christmas,6257,81.96,No,1
2019,Pudukkottai,Theft,51,0.64,Low,Morning,Rural Area,Sunny,11.08,23.82,No Event,8466,89.32,No,1
2020,Salem,Kidnapping,412,20.6,Medium,Evening,Residential Area,Stormy,7.09,29.3,Pongal,14803,87.11,No,1
2019,Salem,Theft,988,11.9,High,Morning,Commercial Area,Foggy,3.03,31.32,Temple Festival,14481,84.33,No,1
2021,Namakkal,Murder,1191,18.61,High,Evening,Residential Area,Sunny,8.21,19.21,Diwali,3725,71.05,No,1
2019,Villupuram,Robbery,788,34.26,Medium,Night,Commercial Area,Sunny,10.03,16.92,Temple Festival,9330,84.85,No,1
2019,Sivagangai,Burglary,286,8.94,Low,Morning,Residential Area,Rainy,4.61,30.55,Pongal,7392,79.07,No,1
2021,Karur,Domestic Violence,918,18,High,Afternoon,Urban Area,Cloudy,11.64,14.44,Pongal,12445,67.35,No,1
2021,Tiruchirappalli,Theft,453,6.66,Medium,Afternoon,Highway,Cloudy,5.06,33.42,Temple Festival,5217,77.97,No,1
2020,Kanyakumari,Theft,413,7.79,Medium,Evening,Highway,Cloudy,6.74,21.05,Independence Day,12833,85.9,No,1
2021,Ramanathapuram,Murder,528,6.21,Medium,Evening,Commercial Area,Stormy,7.44,23.78,Temple Festival,6380,77.09,No,1
2019,Madurai,Assault,166,4.49,Low,Evening,Residential Area,Stormy,11.06,25.64,Diwali,3171,86.83,No,1
2021,Sivagangai,Theft,430,6.94,Medium,Night,Commercial Area,Foggy,7.15,13.02,Temple Festival,1224,88.11,No,1
2019,Tiruvannamalai,Murder,1192,44.15,High,Morning,Highway,Rainy,4.04,28.38,Pongal,4360,72.43,No,1
2019,Coimbatore,Assault,1063,106.3,High,Night,Urban Area,Cloudy,11.66,28.42,Independence Day,1054,85.36,Yes,1
2021,Nagapattinam,Theft,903,9.03,High,Morning,Rural Area,Foggy,11.43,18.25,Independence Day,549,93.96,No,1
2021,Nagapattinam,Theft,890,63.57,High,Afternoon,Rural Area,Cloudy,8.77,19.72,No Event,4080,71.23,No,1
2019,Kanyakumari,Drug Offenses,69,1.3,Low,Afternoon,Highway,Rainy,6.84,33.03,Temple Festival,11140,79.39,No,1
2021,Tirunelveli,Theft,295,5.27,Low,Afternoon,Residential Area,Rainy,4.27,25.63,Pongal,8427,84.9,No,1
2021,Dindigul,Drug Offenses,497,45.18,Medium,Afternoon,Residential Area,Rainy,7.91,29.6,Pongal,1388,93.65,No,1
2021,Kanyakumari,Kidnapping,478,12.92,Medium,Night,Industrial Zone,Cloudy,7.68,32.68,Pongal,3887,92.67,No,1
2019,Sivagangai,Burglary,317,4.73,Low,Afternoon,Rural Area,Cloudy,4.69,28.42,No Event,1401,70.92,No,1
2021,Salem,Drug Offenses,244,9.38,Low,Afternoon,Commercial Area,Sunny,6.97,20.67,Independence Day,13890,86.07,No,1
2020,Karur,Drug Offenses,937,11.71,High,Evening,Commercial Area,Stormy,6.48,13.02,Independence Day,14678,90.41,Yes,2
2019,Vellore,Burglary,893,31.89,High,Morning,Residential Area,Cloudy,5.49,27.22,Pongal,2761,74.22,No,1
2020,Tirunelveli,Robbery,118,2.88,Low,Evening,Residential Area,Stormy,4.32,16.99,Independence Day,2767,92.39,No,1
2021,Virudhunagar,Theft,281,3.51,Low,Afternoon,Industrial Zone,Rainy,9.56,23.35,Diwali,3379,66.46,No,1
2019,Tiruvannamalai,Cyber Crime,741,7.64,Medium,Morning,Commercial Area,Foggy,9.37,25.65,Christmas,707,79.32,No,1
2020,Nilgiris,Kidnapping,1011,37.44,High,Evening,Highway,Foggy,4.57,32.67,Pongal,3158,67.2,No,1
2019,Nilgiris,Cyber Crime,860,40.95,High,Night,Industrial Zone,Stormy,9.95,11.54,Diwali,10322,74.06,No,1
2020,Nilgiris,Fraud,548,5.71,Medium,Afternoon,Highway,Stormy,4.94,17.23,Diwali,10497,68.62,No,1
2020,Virudhunagar,Murder,918,11.77,High,Night,Industrial Zone,Stormy,8.32,26.32,Pongal,1919,79.31,No,1
2020,Madurai,Domestic Violence,1159,33.11,High,Night,Industrial Zone,Cloudy,5.71,26.53,Independence Day,12876,89.32,No,1
2019,Chennai,Domestic Violence,264,5.28,Low,Evening,Commercial Area,Foggy,4.59,31.69,No Event,11804,74.18,No,1
2021,Dharmapuri,Robbery,1175,17.8,High,Morning,Rural Area,Sunny,3.23,21.58,Pongal,2220,77.16,No,1
2020,Salem,Kidnapping,170,1.7,Low,Morning,Urban Area,Rainy,8.15,32.07,Temple Festival,7855,73.01,No,1
2019,Namakkal,Domestic Violence,1192,16.56,High,Morning,Industrial Zone,Foggy,3.19,27.61,Independence Day,9587,72.57,No,1
2020,Krishnagiri,Theft,294,4.39,Low,Night,Industrial Zone,Rainy,9.8,17.36,Temple Festival,11061,85.19,No,1
2019,Krishnagiri,Murder,968,40.33,High,Night,Industrial Zone,Foggy,4.51,18.67,Pongal,14297,76.47,No,1
2021,Virudhunagar,Robbery,370,6.85,Low,Night,Highway,Cloudy,5.68,10.89,Pongal,14902,78.15,No,1
2019,Nagapattinam,Fraud,276,25.09,Low,Afternoon,Rural Area,Cloudy,7.2,30.24,Pongal,13787,79.03,No,1
2021,Pudukkottai,Burglary,140,1.89,Low,Afternoon,Commercial Area,Stormy,7.57,21.78,Independence Day,1100,89.32,No,1
2021,Thanjavur,Kidnapping,704,7.74,Medium,Morning,Highway,Sunny,9.76,26.4,Temple Festival,1040,82.07,No,1
2021,Cuddalore,Murder,438,4.87,Medium,Morning,Residential Area,Foggy,5.14,19.92,Diwali,4744,84.91,No,1
2019,Nagapattinam,Murder,864,13.71,High,Evening,Commercial Area,Rainy,8.19,11.76,Temple Festival,1018,89.67,Yes,2
2021,Cuddalore,Murder,519,32.44,Medium,Night,Industrial Zone,Stormy,8.04,17.84,Christmas,9402,71.92,No,1
2020,Dharmapuri,Cyber Crime,163,7.76,Low,Evening,Rural Area,Stormy,5.33,28.52,Pongal,4954,90.48,No,1
2019,Dharmapuri,Murder,445,5.36,Medium,Night,Commercial Area,Rainy,5.74,28.91,No Event,5416,81.91,No,1
2020,Ramanathapuram,Domestic Violence,1008,24,High,Afternoon,Residential Area,Stormy,7.01,24.32,Independence Day,679,65.68,No,1
2021,Ariyalur,Burglary,836,11.61,High,Evening,Highway,Cloudy,7.14,28.79,Pongal,4640,84.02,No,1
2021,Pudukkottai,Burglary,989,61.81,High,Night,Highway,Rainy,6.44,19.23,Diwali,9090,82.29,No,1
2019,Salem,Theft,559,8.6,Medium,Afternoon,Highway,Foggy,10.46,23.98,No Event,3427,87.61,No,1
2021,Chennai,Theft,1138,28.45,High,Afternoon,Urban Area,Rainy,4.62,25.58,Independence Day,12805,74.34,No,1
2021,Dharmapuri,Burglary,349,6.71,Low,Morning,Industrial Zone,Sunny,11.94,17.11,Pongal,3827,91.84,No,1
2021,Tiruvannamalai,Kidnapping,643,9.46,Medium,Evening,Urban Area,Cloudy,11.55,29.28,Christmas,9596,65.7,No,1
2020,Thanjavur,Cyber Crime,406,4.95,Medium,Afternoon,Rural Area,Cloudy,11.45,24.33,Temple Festival,8168,66.1,No,1
2020,Ramanathapuram,Robbery,652,19.18,Medium,Evening,Highway,Foggy,9.36,21.16,Temple Festival,12736,72.77,No,1
2020,Cuddalore,Cyber Crime,413,4.69,Medium,Morning,Urban Area,Cloudy,6.4,21.2,Pongal,10632,76.68,No,1
2020,Salem,Cyber Crime,737,8.57,Medium,Night,Rural Area,Rainy,9.73,19.24,Temple Festival,690,83.21,No,1
2019,Kanyakumari,Assault,371,37.1,Low,Afternoon,Rural Area,Rainy,5.11,23.49,No Event,11119,68.04,No,1
2021,Salem,Fraud,541,6.29,Medium,Morning,Residential Area,Sunny,3.98,26.67,Pongal,13621,90.97,No,1
2021,Coimbatore,Drug Offenses,641,8.11,Medium,Morning,Urban Area,Sunny,3.14,21.22,Christmas,10124,90.19,No,1
2019,Tiruchirappalli,Burglary,684,8.14,Medium,Evening,Urban Area,Sunny,4.25,15.35,Christmas,1472,77.72,No,1
2019,Ramanathapuram,Burglary,937,30.23,High,Night,Highway,Cloudy,9.74,10.72,Pongal,14906,82.73,No,1
2021,Nagapattinam,Theft,357,5.95,Low,Evening,Residential Area,Foggy,10.79,18.52,Temple Festival,2472,81.08,No,1
2021,Cuddalore,Drug Offenses,914,11.57,High,Morning,Highway,Foggy,9.57,12.57,Diwali,4780,87.89,No,1
2020,Pudukkottai,Drug Offenses,854,12.03,High,Morning,Rural Area,Stormy,3.7,23.99,Pongal,4634,83.43,No,1
2019,Perambalur,Burglary,340,3.66,Low,Evening,Commercial Area,Sunny,11.02,14.19,Christmas,14377,94.35,No,1
2021,Erode,Domestic Violence,1131,37.7,High,Evening,Urban Area,Sunny,10.91,17.94,No Event,5886,85.97,Yes,3
2020,Salem,Robbery,792,60.92,Medium,Afternoon,Commercial Area,Rainy,9.52,31.9,Diwali,7986,70.41,No,1
2020,Ariyalur,Drug Offenses,105,1.28,Low,Evening,Industrial Zone,Stormy,5.77,22.91,Temple Festival,5611,92.14,No,1
2020,Tiruvarur,Kidnapping,512,10.04,Medium,Afternoon,Residential Area,Stormy,8.06,16.38,Pongal,4502,84.62,No,1
2020,Krishnagiri,Burglary,1065,16.38,High,Night,Commercial Area,Rainy,3.86,26.31,Temple Festival,4007,82.21,Yes,3
2021,Nilgiris,Assault,733,9.05,Medium,Afternoon,Rural Area,Stormy,11.04,34.6,No Event,9833,66.68,No,1
2021,Virudhunagar,Murder,1123,18.72,High,Night,Residential Area,Cloudy,8.88,20.31,Temple Festival,13166,78.74,No,1
2020,Ariyalur,Robbery,1019,13.06,High,Morning,Residential Area,Foggy,10.13,27.29,Christmas,11470,73.24,No,1
2020,Erode,Drug Offenses,708,14.45,Medium,Morning,Rural Area,Sunny,5.37,12.68,No Event,4826,82.41,No,1
2021,Madurai,Cyber Crime,52,0.78,Low,Afternoon,Residential Area,Foggy,8.45,10.1,Independence Day,11142,66.68,No,1
2021,Pudukkottai,Cyber Crime,653,6.73,Medium,Morning,Residential Area,Cloudy,10.63,11.4,Christmas,11403,81.19,No,1
2019,Tiruvarur,Domestic Violence,264,3.88,Low,Afternoon,Rural Area,Sunny,5.12,15.23,Diwali,8827,79.91,No,1
2021,Sivagangai,Cyber Crime,375,9.15,Low,Night,Highway,Cloudy,4.71,29.79,Diwali,1459,72.69,No,1
2021,Thanjavur,Kidnapping,674,20.42,Medium,Evening,Highway,Sunny,9.59,32.93,Diwali,10692,67.44,No,1
2021,Tirunelveli,Assault,654,8.07,Medium,Morning,Commercial Area,Foggy,5.93,22.62,Temple Festival,1891,85.69,No,1
2020,Karur,Assault,519,6.65,Medium,Morning,Commercial Area,Rainy,4,10.6,Pongal,12563,89.59,No,1
2020,Erode,Kidnapping,997,33.23,High,Afternoon,Industrial Zone,Foggy,6.87,14.65,No Event,1489,93.75,No,1
2019,Ramanathapuram,Murder,1059,13.24,High,Afternoon,Urban Area,Cloudy,7.76,28.41,Diwali,14503,77.52,No,1
2021,Ramanathapuram,Cyber Crime,708,22.12,Medium,Night,Industrial Zone,Rainy,7.53,22.56,Christmas,14726,71.1,No,1
2019,Namakkal,Kidnapping,715,10.51,Medium,Evening,Commercial Area,Cloudy,3.43,30.17,Christmas,4033,79.48,No,1
2021,Ramanathapuram,Drug Offenses,787,34.22,Medium,Morning,Industrial Zone,Rainy,3.82,28.19,Independence Day,8289,80.72,No,1
2020,Ariyalur,Theft,154,2.41,Low,Night,Residential Area,Stormy,7.52,14.85,Christmas,3398,65.93,No,1
2021,Tiruchirappalli,Fraud,1096,14.81,High,Morning,Rural Area,Rainy,11.11,10.4,No Event,5052,84.17,No,1
2019,Dharmapuri,Murder,591,11.15,Medium,Afternoon,Highway,Foggy,6.17,33.21,No Event,811,72.35,No,1
2019,Vellore,Robbery,392,12.65,Low,Afternoon,Rural Area,Rainy,8.51,11.8,No Event,7356,74.42,No,1
2021,Pudukkottai,Kidnapping,1077,59.83,High,Evening,Urban Area,Sunny,10.03,17.86,Independence Day,3892,77.74,Yes,4
2019,Vellore,Domestic Violence,143,6.5,Low,Morning,Highway,Cloudy,11.25,28.08,Temple Festival,4650,84.62,No,1
2020,Sivagangai,Domestic Violence,878,15.68,High,Night,Industrial Zone,Stormy,11.44,33.72,Pongal,671,65.9,No,1
2019,Ramanathapuram,Theft,1018,10.49,High,Morning,Highway,Rainy,6.07,33.55,Pongal,14496,66.1,No,1
2021,Thoothukudi,Assault,675,56.25,Medium,Afternoon,Urban Area,Rainy,5.17,28.12,Christmas,11526,88.04,No,1
2019,Thoothukudi,Murder,400,7.02,Low,Evening,Urban Area,Sunny,4.51,31.29,Independence Day,6490,81.35,No,1
2019,Karur,Burglary,473,10.51,Medium,Morning,Residential Area,Sunny,5.79,27.77,Christmas,8440,76.97,No,1
2020,Sivagangai,Kidnapping,781,8.58,Medium,Evening,Residential Area,Cloudy,8.32,15.28,Diwali,6048,84.5,No,1
2019,Tiruvarur,Cyber Crime,511,24.33,Medium,Afternoon,Highway,Cloudy,11.72,27.24,Christmas,12961,72.69,No,1
2021,Dharmapuri,Kidnapping,745,9.93,Medium,Morning,Commercial Area,Stormy,5.08,17.47,Christmas,766,82.4,No,1
2019,Nagapattinam,Fraud,261,9.67,Low,Morning,Urban Area,Cloudy,3.17,26.08,Temple Festival,3988,65.45,No,1
2020,Pudukkottai,Fraud,927,9.66,High,Night,Commercial Area,Foggy,3.2,27.21,Pongal,4506,74.61,Yes,2
2020,Cuddalore,Drug Offenses,926,10.4,High,Morning,Urban Area,Stormy,8.83,13.8,Diwali,11089,92.18,No,1
2021,Dindigul,Murder,633,26.38,Medium,Afternoon,Residential Area,Rainy,7.24,16.43,Pongal,12126,91.79,No,1
2021,Krishnagiri,Kidnapping,197,1.99,Low,Morning,Residential Area,Sunny,9.54,24.25,Christmas,817,74.97,No,1
2019,Villupuram,Cyber Crime,99,2.48,Low,Night,Rural Area,Stormy,5.07,22.08,Pongal,14787,70.44,No,1
2021,Vellore,Assault,1072,10.83,High,Morning,Commercial Area,Sunny,9.51,26.78,Temple Festival,6814,87.56,No,1
2020,Tiruchirappalli,Theft,742,33.73,Medium,Evening,Highway,Foggy,5.03,34.22,Pongal,8002,87.04,No,1
2020,Pudukkottai,Cyber Crime,422,5.94,Medium,Night,Commercial Area,Foggy,8.77,10.73,Pongal,704,94.69,No,1
2021,Madurai,Burglary,480,4.85,Medium,Night,Rural Area,Foggy,9.46,12.91,Independence Day,7765,78.29,No,1
2019,Salem,Robbery,644,7.16,Medium,Evening,Rural Area,Sunny,10.49,31.78,Independence Day,7395,65.79,No,1
